"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2019,124251175,63,15585,,137898111
2019,124251175,6,80,,137898109
2019,124255036,38,1,,137890074
2019,124251235,20,100,,137898187
2019,124247708,38,1,,137894105
2019,124247708,36,375,,137894104
2019,124251266,8,133,,137898229
2019,124251264,8,133,15-DEC-19,137898228
2019,124255085,20,360,,137898248
2019,124255087,9,0,,137898255
2019,124255087,25,100,,137898256
2019,124251370,3,1000,,137898351
2019,124247791,19,20,29-SEP-19,137894194
2019,124247792,19,20,,137894195
2019,124251429,20,375,,137890228
2019,124247820,63,3,,137894240
2019,124247841,24,700,14-NOV-19,137894268
